"D32" "T55"
"D25" "T55"
"D34" "T18"
"D58" "T30"
"D23" "T63"
"D46" "T11"
"D17" "T4"
"D52" "T32"
"D33" "T59"
"D15" "T50"
"D44" "T55"
"D29" "T56"
"D54" "T55"
"D57" "T48"
"D25" "T44"
"D22" "T36"
"D16" "T48"
"D17" "T41"
"D17" "T14"
"D42" "T53"
"D33" "T5"
"D50" "T71"
"D47" "T55"
"D52" "T57"
"D44" "T57"
"D41" "T53"
"D20" "T63"
"D30" "T41"
"D4" "T10"
"D45" "T35"
"D5" "T66"
"D22" "T47"
"D30" "T77"
"D52" "T1"
"D1" "T20"
"D32" "T42"
"D20" "T30"
"D55" "T63"
"D53" "T6"
"D7" "T2"
"D21" "T71"
"D59" "T6"
"D49" "T45"
"D22" "T63"
"D48" "T18"
"D45" "T17"
"D2" "T31"
"D35" "T58"
"D49" "T43"
"D52" "T53"
"D33" "T13"
"D44" "T54"
"D20" "T40"
"D23" "T77"
"D58" "T41"
"D9" "T30"
"D42" "T19"
"D2" "T21"
"D46" "T34"
"D54" "T7"
"D23" "T67"
"D43" "T72"
"D21" "T1"
"D43" "T1"
"D43" "T74"
"D30" "T69"
"D32" "T19"
"D5" "T11"
"D54" "T72"
"D8" "T14"
"D14" "T35"
"D46" "T64"
"D2" "T18"
"D51" "T47"
"D31" "T70"
"D18" "T56"
"D25" "T15"
"D7" "T8"
"D51" "T16"
"D41" "T15"
"D26" "T69"
"D50" "T50"
"D3" "T72"
"D35" "T59"
"D3" "T21"
"D43" "T35"
"D52" "T33"
"D51" "T54"
"D34" "T38"
"D50" "T63"
"D39" "T28"
"D50" "T35"
"D28" "T27"
"D9" "T9"
"D27" "T53"
"D10" "T73"
"D52" "T24"
"D7" "T38"
"D2" "T23"
"D26" "T18"
"D11" "T46"
"D51" "T73"
"D26" "T24"
"D41" "T11"
"D56" "T36"
"D17" "T30"
"D37" "T41"
"D39" "T30"
"D31" "T21"
"D33" "T58"
"D23" "T28"
"D25" "T22"
"D32" "T37"
"D17" "T8"
"D21" "T38"
"D48" "T45"
"D57" "T18"
"D12" "T57"
"D57" "T7"
"D13" "T45"
"D47" "T61"
"D8" "T22"
"D40" "T40"
"D24" "T30"
"D29" "T51"
"D43" "T41"
"D11" "T1"
"D35" "T40"
"D25" "T46"
"D49" "T21"
"D55" "T26"
"D1" "T48"
"D45" "T66"
"D30" "T52"
"D54" "T24"
"D31" "T34"
"D24" "T41"
"D19" "T28"
"D14" "T45"
"D14" "T3"
"D55" "T45"
"D50" "T74"
"D55" "T22"
"D14" "T48"
"D43" "T31"
"D26" "T29"
"D54" "T6"
"D24" "T70"
"D7" "T70"
"D44" "T36"
"D41" "T71"
"D39" "T23"
"D17" "T34"
"D14" "T52"
"D27" "T72"
"D13" "T63"
"D16" "T30"
"D1" "T10"
"D6" "T34"
"D48" "T14"
"D45" "T19"
"D43" "T73"
"D28" "T40"
"D45" "T45"
"D14" "T77"
"D11" "T8"
"D24" "T21"
"D23" "T51"
"D55" "T29"
"D34" "T60"
"D5" "T50"
"D27" "T14"
"D2" "T16"
"D50" "T4"
"D38" "T15"
"D20" "T22"
"D12" "T27"
"D22" "T21"
"D38" "T8"
"D3" "T28"
"D28" "T68"
"D11" "T69"
"D1" "T43"
"D6" "T46"
"D49" "T12"
"D18" "T75"
"D41" "T39"
"D57" "T47"
"D51" "T35"
"D14" "T69"
"D40" "T43"
"D29" "T69"
"D42" "T74"
"D5" "T36"
"D10" "T59"
"D24" "T67"
"D9" "T63"
"D4" "T29"
"D14" "T34"
"D31" "T38"
"D3" "T45"
"D13" "T69"
"D15" "T43"
"D7" "T25"
"D38" "T61"
"D21" "T63"
"D3" "T12"
"D46" "T60"
"D12" "T13"
"D14" "T25"
"D18" "T46"
"D35" "T33"
"D22" "T24"
"D12" "T39"
"D24" "T61"
"D29" "T20"
"D19" "T55"
"D7" "T46"
"D58" "T52"
"D30" "T42"
"D59" "T42"
"D25" "T21"
"D27" "T25"
"D7" "T21"
"D49" "T20"
"D36" "T12"
"D11" "T67"
"D53" "T7"
"D48" "T33"
"D38" "T42"
"D20" "T45"
"D8" "T47"
"D23" "T1"
"D51" "T24"
"D17" "T59"
"D40" "T14"
"D32" "T34"
"D4" "T39"
"D29" "T23"
"D37" "T20"
"D31" "T45"
"D41" "T19"
"D2" "T24"
"D9" "T4"
"D22" "T64"
"D42" "T23"
"D46" "T66"
"D56" "T33"
"D32" "T23"
"D2" "T36"
"D30" "T72"
"D30" "T27"
"D53" "T11"
"D29" "T27"
"D53" "T50"
"D4" "T15"
